title;labels;keywords;gpt;tags_label;gpt_label
1Forge Finance APIs;financial;1forge,forex,quotes,info,providername,images,stock,financial;financial;0;0
Events API;security;app_version,1password,os_version,event,slackapp,used_version,events,platform_secret_proxy,anonymous_blocked,itemusageitems,app_name,platform_version,all_blocked,agvsbg8higlzigl0ig1lihlvdsbhcmugbg9va2luzybmb3ik,os_name,ip_blocked,vault_uuid,item_uuid,object_uuid,session_uuid,ip_address,info,firewall_reported_success,complete,itemusage,non_sso_user,sso_user_mismatch,object_type,update,browser,platform_secret_disabled,password_secret_bad,reveal,details,itemusagesrequest,server,providername,auditeventobjecttypes,43,433,vaultkey,platform_name,aux_info,web,itemusages,service_account_sso_denied,auditeventsrequest,information,credentials_ok,target_user,11,aux_uuid,itemhist,code_timeout,client,edit,login_time,internalservererrorresponse,user,modern_version_failed,totp_disabled,members,credentials_failed,code_disabled,servicename,auditevent,actor_uuid,sso_failed,auditeventitems,installed,extension,enter,totp_timeout,endpoint,auditevents;developer_tools;1;7
1Password Connect;security;1password,connect,access,urls,content_path,api_credential,apirequest,providername,localhost,email_account,interface,supports,wireless_router,vghligz1dhvyzsbizwxvbmdzihrvihrozsbjdxjpb3vzlgo,updatevaultitem,login,413,h2nl155dshi043yse7wa3u1hs7,connected,06gnn2b95example10q91512p5,update,password,servicename,passwords,inline_files,org,connecttoken,subset,sections,getitemfiles,support,download,downloadfilebyid,accessed,getvaultitems,add,username,patchvaultitem,complete,rfc6901,uniqueitems,fullitem,contentversion,specific,meta,sync,path,createvaultitem,p7eflcy7f5mk7vg6zrzf5rjjyu,tag1,attributeversion,entire,details,patchitemattr,rfc6902,metadata,software_license,tools,6r65pjq33banznomn7q22sj44e,patchitemfieldwithid,section,server,manage,social_security_number,local,op_max_inline_file_size_kb,info,requestip,application,getvaultbyid,ping,credit_card,vaultnotfound,token_needed;developer_tools;1;7
Authentiq API;security;apache,authentiqid,authentiq,www,authentiqio,github,providername,html,appspot,login,githubusercontent,passwords,push_login_request,key_bind,org,key_update,posted,auth,exists,authentication,wiki,updates,update,43,sign_update,retrieved,app,strong,key_retrieve,sign_confirm,ncomplete,uri,info,application,key_revoke_nosecret,base64safe,uuid,aud;authentication;1;32
IP geolocation API;location;geolocation,geolocated,api_key,country_geoname_id,city_geoname_id,region_geoname_id,abstractapi,ip_address,ip,continent_geoname_id,ipgeolocation,addresses,isp_name,connection_type,abstract,www,region_iso_code,global,ipv6,continent_code,5ec2ba29feeeb05d69160e7b_webclip,online,country_code,8323,application;location;2;2
Adafruit IO REST API;iot;adafruit,adafruit_io_arduino,github,githubusercontent,io_username,enabled,http_code_ok,httpclient,add_feed,www,getcurrentuserthrottle,httpcode,webhook,int32,io_key,alldashboards,feed_key,apikey,esp8266wifi,createtoken,createpermission,usernamepath,user,client,javascript,wifi_sta,username,group_feed_create,nthis,feedparam,feed_id,users,updatetoken,webhookreceivers,uint8_t,io_key_12345,provides,createraw,browser,getdashboard,headerkey,path_with_username,createwebhookfeeddata,send_data,io,server,headersignature,console,access,user_id,add,providername,create,iot,programming,nfunction,header,capable,created_at,createblock,wl_connected,createdashboard,object_id,createrawwebhookfeeddata,easy,internet,available,alltokens,viewforum,nthe,basics,group_feed_data,wifimulti,web,visual_type,ruby,esp8266wifimulti,profile_image,wifi,updated_at,completed_at,int,group_create,application,send,createfeed,datainclude,payloads,addap,dashboardidpath,feeds,activitytypepath,requests,block_feeds,simple,shared_with,payload,password,message,info,forums,activities,updatefeed,request,destroydashboard,nesp8266wifimulti,createtrigger,feed,destroytoken,setup,ok,esp8266httpclient,gettoken,automatically,view,guide;iot;3;3
Adobe Experience Manager (AEM) API;marketing;shinesolutions,postsetpassword,adobe,serviceproviderentityid,userintermediatepath,opensource,queuebatchmaxsize,apache,stateraw,useridattribute,slingdavexservlet,proxypassword,samlconfigurationpropertyitemsarray,posttruststore,pwdreset,packageversion,truststorepassword,clientcertificate,truststorepasswordconfirm,httpshostname,sslsetup,samlconfigurationpropertyitemslong,queuebatchwaittime,userid,querybuilder,assertionconsumerserviceurl,protocolinterface,proxyuser,keystorepassword,_charset_,samlauthenticationhandler,keystorepasswordconfirm,samlconfigurationpropertyitemsboolean,handlelogout,gettruststore,mixintypes,bundledataprop,referrerfilter,currentpassword,postconfigaempasswordreset,sling,algorithm,proxyconfigurator,gettruststoreinfo,setpassword,protocolversion,newpassword,packagename,queuebatchmode,protocolhttpsrelaxed,shine,enable,protocolsockettimeout,keystorechainitems,httpsport,twitter,groupmembershipattribute,aem,postpackageservicejson,symbolicname,createuser,samlconfigurationproperties,spprivatekeyalias,server,keypassword,postconfigapacheslingreferrerfilter,samlconfigurationpropertyitemsstring,manager,samlconfigurationinfo,keystoreitems,posttruststorepkcs12,packmgr,passwordreset,truststoreitems,signaturemethod,protocolhttpexpired,combinetagsor,protocolhttpheaders,users,postnoderw,idphttpredirect,githubusercontent,productinfo,postauthorizablekeystore,installstatus,user,defaultredirecturl,entrytype,providername,addgroupmemberships,html,postjmxrepository,activebundlehealthcheck,zip,error,authorizableid,resourcetype;backend;4;22
Account API;payment;your_api_key,accountpayoutstate,apikey,apikeyauth,your_platform_account,accountnumber,account,code_of_account,accounttype,accounts,accountwrapper,accountholderdetails,application,accounteventwrapper,accountstatetype,adyen,bank_account_verification,accountevent,createaccountholder__resparam_accountholderdetails,accountprocessingstate,accountcode,accountholderwebsite,payout_method_verification,accountstatus,accountholderstatus,uploaded,company_verification,addedinversion,enables,listedultimateparentcompany,active,updates,enable,beneficiary,updatepayoutschedulerequest,upload,user,update,accountholdercode,enabled,allowpayout,supported,ultimateparentcompanybusinessdetailsregistrationnumber,uploads,connect,daily_au,supports,platform,visanumber,providername,payoutscheduleresponse,provides,int32,uploaddocument,versioning,code_of_account_holder,website,accountservice,storedetail,payoutschedule,www,beneficiarymerchantreference,verificationtype,accountholder,errorfieldtypewrapper,uploading,implementation,payoutmethodcode,providing,fullphonenumber,card_verification,pci_verification,access,urlforverification,nonprofit_verification,username,identity_verification,github,org,nto,ultimateparentcompanystocknumber,additionalproperties,linked,add,ultimateparentcompanybusinessdetailslegalbusinessname,nthis,9916613322577326,payoutmethod,ultimateparentcompanyaddressdetails,nyour,provide,limitedpayout,operating,nby,verification,bankname,integration,id_card_front,ultimateparentcompanybusinessdetails,details,example_uuid,businessdetails,managing,server,servicename,ultimateparentcompanywrapper,updateaccountholder,eeb6ed22,virtualaccount,ownerhousenumberorname,beneficiaryaccount,id_card,platforms,ultimateparentcompany,storename,existing,storereference,entry,legal_arrangement_verification,using,operations,input,exists,1_alpha,iban,maxlength,adds,viasphonenumber,alpha,nwhen,getaccountholder__resparam_verification,entities,profile_image,members,addshareholders,ultimateparentcompanycode,nyou,processingtier,ultimateparentcompanystocknumberorstockticker,partner,member,info,requests,payoutschedulereason,idnumber,bank_statement,proof_of_residency,continue,sub,payoutmethods,limitlesspayout,ultimateparentcompanyaddressdetailscountry,bankcity,authentication,provided,npossible,errorfieldtype,refer,weekly_sun_to_thu_au,branch,balanceaccountcode,services,verify,getuploadeddocumentsresponse,9916613324987358,methodname,available,viasname,handle,githubusercontent,proving,updatedfields,8816080407386622,9999,submittedasync,getuploadeddocuments,web,organization,generate_code,signatorycontactwrapper,create,documentname,usable,validation,entire,updateaccountholderstate,kycverificationresult,publicversion,refundnotpaidouttransfers,getuploadeddocumentsrequest,updateaccount,businesscontact,errortype,page,represent,pending_review,updateaccountholderstaterequest,documentdetails,payoutlimit,entity,binary;payment;5;5
Account API;payment;your_api_key,accountpayoutstate,apikey,apikeyauth,your_platform_account,accountnumber,account,code_of_account,accounttype,accounts,accountwrapper,accountholderdetails,accounteventwrapper,application,accountstatetype,adyen,bank_account_verification,accountevent,createaccountholder__resparam_accountholderdetails,accountprocessingstate,accountcode,accountholderwebsite,payout_method_verification,accountstatus,accountholderstatus,company_verification,uploaded,enables,addedinversion,listedultimateparentcompany,active,updates,enable,beneficiary,updatepayoutschedulerequest,upload,accountholdercode,user,update,enabled,allowpayout,supported,ultimateparentcompanybusinessdetailsregistrationnumber,uploads,connect,supports,daily_au,platform,visanumber,payoutscheduleresponse,code_of_account_holder,uploaddocument,provides,providername,versioning,accountservice,int32,website,storedetail,beneficiarymerchantreference,verificationtype,payoutschedule,accountholder,www,errorfieldtypewrapper,uploading,payoutmethodcode,providing,fullphonenumber,implementation,card_verification,pci_verification,access,nonprofit_verification,urlforverification,username,identity_verification,github,nto,ultimateparentcompanystocknumber,org,additionalproperties,linked,nthis,add,ultimateparentcompanybusinessdetailslegalbusinessname,9916613322577326,payoutmethod,ultimateparentcompanyaddressdetails,nyour,operating,provide,nby,verification,limitedpayout,bankname,integration,id_card_front,ultimateparentcompanybusinessdetails,businessdetails,eeb6ed22,example_uuid,details,managing,ultimateparentcompanywrapper,updateaccountholder,servicename,virtualaccount,server,ownerhousenumberorname,beneficiaryaccount,id_card,storereference,ultimateparentcompany,platforms,existing,using,legal_arrangement_verification,operations,storename,entry,input,maxlength,iban,1_alpha,viasphonenumber,adds,nwhen,getaccountholder__resparam_verification,entities,alpha,profile_image,addshareholders,members,nyou,ultimateparentcompanycode,processingtier,ultimateparentcompanystocknumberorstockticker,requests,bank_statement,payoutschedulereason,member,partner,info,idnumber,proof_of_residency,continue,sub,errorfieldtype,bankcity,npossible,ultimateparentcompanyaddressdetailscountry,authentication,limitlesspayout,refer,provided,verify,balanceaccountcode,weekly_sun_to_thu_au,branch,getuploadeddocumentsresponse,viasname,9916613324987358,services,methodname,handle,available,updatedfields,proving,githubusercontent,getuploadeddocuments,signatorycontactwrapper,submittedasync,generate_code,create,web,documentname,kycverificationresult,organization,updateaccountholderstate,validation,businesscontact,getuploadeddocumentsrequest,usable,updateaccount,errortype,entire,represent,publicversion,refundnotpaidouttransfers,pending_review,updateaccountholderstaterequest,page,entity,documentdetails,binary,transaction,payoutlimit,balanceaccountid;payment;5;5
Account API;payment;your_api_key,accountpayoutstate,apikey,apikeyauth,your_platform_account,accountnumber,account,code_of_account,accounttype,accounts,accountholderdetails,application,accountstatetype,adyen,bank_account_verification,accountevent,accountholderid,createaccountholder__resparam_accountholderdetails,accountcode,accountprocessingstate,businesslineid,accountholderwebsite,payout_method_verification,login,accountstatus,accountholderstatus,uploaded,addedinversion,company_verification,enables,storeid,listedultimateparentcompany,payments__reqparam_shopperreference,updates,active,enable,beneficiary,updatepayoutschedulerequest,upload,user,accountholdercode,update,enabled,allowpayout,supporting_documents,supported,ultimateparentcompanybusinessdetailsregistrationnumber,connect,uploads,supports,daily_au,platform,payoutscheduleresponse,visanumber,uploaddocument,code_of_account_holder,provides,providername,versioning,accountservice,payoutmethodreference,int32,website,storedetail,payments__reqparam_merchantaccount,beneficiarymerchantreference,payoutschedule,verificationtype,accountholder,www,payoutmethodcode,uploading,fullphonenumber,providing,card_verification,implementation,payoutspeed,username,access,pci_verification,nonprofit_verification,urlforverification,your_unique_account_holder_code,identity_verification,nto,github,additionalproperties,org,ultimateparentcompanystocknumber,virtual,nthis,add,linked,9916613322577326,ultimateparentcompanybusinessdetailslegalbusinessname,payoutmethod,payoutmethodcodes,nyour,ultimateparentcompanyaddressdetails,nby,operating,provide,limitedpayout,bankname,verification,storedetails,hopper,id_card_front,performverificationrequest,customer,integration,eeb6ed22,example_uuid,ultimateparentcompanybusinessdetails,managing,servicename,businessdetails,details,updateaccountholder,virtualaccount,ownerhousenumberorname,beneficiaryaccount,server,id_card,storereference,existing,ultimateparentcompany,platforms,storename,using,entry,maxlength,migratedstores,legal_arrangement_verification,deletepayoutmethods,operations,adds,1_alpha,input,iban,nwhen,viasphonenumber,getaccountholder__resparam_verification,entities,nyou,alpha,addshareholders,profile_image,members,ultimateparentcompanycode,shopperreference,processingtier,ultimateparentcompanystocknumberorstockticker,bank_statement,member,payoutschedulereason,requests,idnumber,virtualaccountcode,info,partner,sub,bankcity,continue,payoutmethods,proof_of_residency,refer,npossible,ultimateparentcompanyaddressdetailscountry,limitlesspayout,errorfieldtype,authentication,branch,getuploadeddocumentsresponse,9916613324987358,balanceaccountcode,provided,verify,weekly_sun_to_thu_au,services,handle,viasname,alice,methodname,proving,githubusercontent,getuploadeddocuments,create,organization,web,generate_code,documentname,kycverificationresult,getuploadeddocumentsrequest,usable,updateaccount,entire,refundnotpaidouttransfers,updateaccountholderstate,publicversion,represent,validation,businesscontact,errortype,page,updateaccountholderstaterequest,pending_review,entity,bankaggregatordatareference,documentdetails,transaction,payoutlimit,binary,createaccountholderresponse;payment;5;5
